,county,state,population,male,female,median_age,region,female_percentage,cases,deaths,population_size,death_size,case_size
36,Anchorage,Alaska,296112,151144,144968,33.2,West,48.957151348138545,124062,612,small population,low deaths,medium cases
37,Anderson,Kansas,7852,3932,3920,41.5,Midwest,49.92358634742741,10936,256,small population,low deaths,low cases
38,Andrew,Missouri,17403,8720,8683,42.4,Midwest,49.89369648911107,5647,66,small population,low deaths,low cases
39,Andrews,Texas,17818,9102,8716,31.2,South,48.916825681894714,5083,74,small population,low deaths,low cases
40,Androscoggin,Maine,107444,52514,54930,40.7,Northeast,51.12430661553926,28226,332,small population,low deaths,low cases
41,Angelina,Texas,87607,42659,44948,37.2,South,51.30640245642471,17028,503,small population,low deaths,low cases
42,Anne Arundel,Maryland,567696,281176,286520,38.4,South,50.47067444547786,119222,1267,small population,medium deaths,medium cases
43,Anoka,Minnesota,347431,173811,173620,38.4,Midwest,49.97251252766736,118681,875,small population,low deaths,medium cases
44,Anson,North Carolina,25306,13285,12021,40.5,South,47.50256856081562,8442,113,small population,low deaths,low cases
45,Antelope,Nebraska,6372,3204,3168,45.3,Midwest,49.717514124293785,1282,19,small population,low deaths,low cases
46,Antrim,Michigan,23177,11515,11662,50.7,Midwest,50.317124735729394,5257,76,small population,low deaths,low cases
47,Apache,Arizona,71522,35240,36282,34.7,West,50.728447191074075,35848,639,small population,low deaths,low cases
48,Appanoose,Iowa,12510,6154,6356,45.4,Midwest,50.80735411670664,3425,80,small population,low deaths,low cases
49,Appling,Georgia,18454,9353,9101,39.0,South,49.31722119865612,5275,135,small population,low deaths,low cases
50,Appomattox,Virginia,15577,7563,8014,42.9,South,51.44764717211273,4995,62,small population,low deaths,low cases
51,Aransas,Texas,24763,12026,12737,49.6,South,51.435609578807096,5538,97,small population,low deaths,low cases
52,Arapahoe,Colorado,636671,314672,321999,36.5,West,50.57541493173083,196452,1361,small population,medium deaths,medium cases
53,Archer,Texas,8789,4326,4463,44.5,South,50.77938332005917,2636,30,small population,low deaths,low cases
54,Archuleta,Colorado,12908,6546,6362,50.6,West,49.2872637124264,3531,24,small population,low deaths,low cases
55,Arenac,Michigan,15165,7681,7484,49.6,Midwest,49.35047807451368,3884,86,small population,low deaths,low cases
56,Arkansas,Arkansas,18124,8733,9391,41.4,South,51.8152725667623,7001,95,small population,low deaths,low cases
57,Arlington,Virginia,231803,115819,115984,34.5,South,50.03559056612728,66517,368,small population,low deaths,low cases
58,Armstrong,Pennsylvania,66331,33003,33328,46.3,Northeast,50.24498349188163,694,10,small population,low deaths,low cases
59,Aroostook,Maine,68269,33745,34524,47.6,Northeast,50.57053713984385,18169,198,small population,low deaths,low cases
60,Arthur,Nebraska,418,205,213,47.1,Midwest,50.95693779904307,34,1,small population,low deaths,low cases
61,Ascension,Louisiana,121176,59998,61178,35.4,South,50.48689509473823,45035,312,small population,low deaths,low cases
62,Ashe,North Carolina,26786,13168,13618,47.7,South,50.83999104009557,7606,94,small population,low deaths,low cases
63,Ashland,Ohio,53477,26101,27376,40.3,Midwest,51.19210127718459,4141,43,small population,low deaths,low cases
64,Ashley,Arkansas,20537,10013,10524,41.7,South,51.244096021814286,6221,82,small population,low deaths,low cases
65,Ashtabula,Ohio,98136,49335,48801,42.4,Midwest,49.72792858889704,25642,471,small population,low deaths,low cases
66,Asotin,Washington,22337,10721,11616,45.0,West,52.0034024264673,5595,86,small population,low deaths,low cases
67,Assumption,Louisiana,22714,11005,11709,40.5,South,51.5497050277362,6769,73,small population,low deaths,low cases
68,Atascosa,Texas,48828,24398,24430,35.4,South,50.03276808388629,15698,240,small population,low deaths,low cases
69,Atchison,Kansas,16363,7949,8414,36.1,Midwest,51.42088859011184,1810,24,small population,low deaths,low cases
70,Athens,Ohio,65936,32846,33090,28.9,Midwest,50.18502790584809,19820,157,small population,low deaths,low cases
71,Atkinson,Georgia,8265,4208,4057,35.5,South,49.086509376890504,2456,57,small population,low deaths,low cases
72,Atlantic,New Jersey,268539,130026,138513,41.5,Northeast,51.58021739859014,91213,1080,small population,medium deaths,low cases
73,Atoka,Oklahoma,13874,7306,6568,40.6,South,47.340348853971456,4690,57,small population,low deaths,low cases
74,Attala,Mississippi,18581,8826,9755,39.7,South,52.49986545395835,6751,124,small population,low deaths,low cases
75,Audrain,Missouri,25735,11768,13967,39.7,Midwest,54.2723916844764,6840,125,small population,low deaths,low cases
76,Audubon,Iowa,5637,2758,2879,49.0,Midwest,51.073265921589496,1309,25,small population,low deaths,low cases
77,Auglaize,Ohio,45784,22705,23079,41.3,Midwest,50.40843962956492,14154,202,small population,low deaths,low cases
78,Augusta,Virginia,74701,37897,36804,44.8,South,49.26841675479579,24387,239,small population,low deaths,low cases
79,Aurora,South Dakota,2759,1448,1311,38.3,Midwest,47.51721638274737,896,18,small population,low deaths,low cases
80,Austin,Texas,29565,14684,14881,40.7,South,50.333164214442746,6992,84,small population,low deaths,low cases
81,Autauga,Alabama,55200,26874,28326,37.8,South,51.315217391304344,19732,230,small population,low deaths,low cases
82,Avery,North Carolina,17501,9488,8013,44.4,South,45.78595508828067,5545,48,small population,low deaths,low cases
83,Avoyelles,Louisiana,40882,20607,20275,37.9,South,49.59395332909349,14308,218,small population,low deaths,low cases
84,Baca,Colorado,3563,1755,1808,47.7,West,50.74375526241931,1025,17,small population,low deaths,low cases
85,Bacon,Georgia,11228,5564,5664,37.0,South,50.44531528322051,4098,82,small population,low deaths,low cases
86,Bailey,Texas,7092,3640,3452,33.5,South,48.67456288776086,1761,39,small population,low deaths,low cases
87,Baker,Florida,27785,14753,13032,37.6,South,46.90300521864315,3829,63,small population,low deaths,low cases
88,Baldwin,Alabama,208107,101188,106919,42.8,South,51.3769359031652,11163,262,small population,low deaths,low cases
89,Ballard,Kentucky,8090,3992,4098,43.3,South,50.65512978986403,1736,37,small population,low deaths,low cases
90,Baltimore,Maryland,827625,392421,435204,39.3,South,52.584685092886275,171602,2804,small population,medium deaths,medium cases
91,Baltimore City,Maryland,614700,288691,326009,35.1,South,53.035464454205304,148793,1954,small population,medium deaths,medium cases
92,Bamberg,South Carolina,14600,7113,7487,41.9,South,51.28082191780822,4281,78,small population,low deaths,low cases
93,Bandera,Texas,21763,11032,10731,52.1,South,49.308459311675776,4280,80,small population,low deaths,low cases
94,Banks,Georgia,18510,9281,9229,41.1,South,49.859535386277685,4571,101,small population,low deaths,low cases
95,Banner,Nebraska,696,346,350,48.5,Midwest,50.28735632183909,102,2,small population,low deaths,low cases
96,Bannock,Idaho,85065,42300,42765,33.3,West,50.2733204020455,24359,272,small population,low deaths,low cases
97,Baraga,Michigan,8507,4720,3787,45.0,Midwest,44.51628071000353,2596,62,small population,low deaths,low cases
98,Barber,Kansas,4733,2356,2377,43.8,Midwest,50.22184660891613,1229,13,small population,low deaths,low cases
99,Barbour,Alabama,25782,13697,12085,39.9,South,46.87378791404856,5960,77,small population,low deaths,low cases
100,Barnes,North Dakota,10836,5430,5406,44.9,Midwest,49.88925802879291,3590,47,small population,low deaths,low cases
101,Barnstable,Massachusetts,213690,102176,111514,52.9,Northeast,52.18494080209649,49249,769,small population,low deaths,low cases
102,Barnwell,South Carolina,21577,10300,11277,40.9,South,52.26398479862817,6784,106,small population,low deaths,low cases
103,Barren,Kentucky,43680,21165,22515,40.3,South,51.545329670329664,17223,239,small population,low deaths,low cases
104,Barron,Wisconsin,45252,22616,22636,44.1,Midwest,50.02209847078583,16076,154,small population,low deaths,low cases
105,Barrow,Georgia,76887,37771,39116,35.4,South,50.87466021564113,26014,291,small population,low deaths,low cases
106,Barry,Michigan,60057,30248,29809,42.6,Midwest,49.6345138784821,7929,151,small population,low deaths,low cases
107,Bartholomew,Indiana,81893,41150,40743,37.7,Midwest,49.75150501263844,26734,270,small population,low deaths,low cases
108,Barton,Kansas,26791,13362,13429,40.0,Midwest,50.12504199171364,3359,56,small population,low deaths,low cases
109,Bartow,Georgia,103620,51332,52288,37.9,South,50.461300907160776,35316,485,small population,low deaths,low cases
110,Bastrop,Texas,82577,42014,40563,38.6,South,49.12142606294731,27223,254,small population,low deaths,low cases
111,Bates,Missouri,16374,8014,8360,41.8,Midwest,51.05655307194332,4449,103,small population,low deaths,low cases
112,Bath,Kentucky,12268,6096,6172,40.4,South,50.309748940332575,1082,21,small population,low deaths,low cases
113,Baxter,Arkansas,41219,19992,21227,52.1,South,51.49809553846527,10684,283,small population,low deaths,low cases
114,Bay,Florida,182482,90768,91714,39.4,South,50.25920364748304,31630,687,small population,low deaths,low cases
115,Bayfield,Wisconsin,14992,7632,7360,52.0,Midwest,49.092849519743865,4371,48,small population,low deaths,low cases
116,Baylor,Texas,3591,1752,1839,47.3,South,51.21136173767753,935,33,small population,low deaths,low cases
117,Beadle,South Dakota,18374,9460,8914,37.3,Midwest,48.51420485468597,5563,64,small population,low deaths,low cases
118,Bear Lake,Idaho,5962,2898,3064,39.3,West,51.392150285139216,1137,19,small population,low deaths,low cases
119,Beaufort,North Carolina,47243,22709,24534,45.7,South,51.931503079821354,54035,432,small population,low deaths,low cases
120,Beauregard,Louisiana,36769,18712,18057,37.6,South,49.109304033288915,11173,145,small population,low deaths,low cases
121,Beaver,Oklahoma,5415,2756,2659,40.3,South,49.10433979686057,0,0,small population,low deaths,low cases
122,Beaverhead,Montana,9393,4748,4645,42.1,West,49.451719365484934,2460,32,small population,low deaths,low cases
123,Becker,Minnesota,33773,16783,16990,41.8,Midwest,50.30645782133657,10440,102,small population,low deaths,low cases
124,Beckham,Oklahoma,22621,12222,10399,35.7,South,45.970558330754606,7249,108,small population,low deaths,low cases
125,Bedford,Pennsylvania,48611,24200,24411,46.2,Northeast,50.21702906749501,22083,284,small population,low deaths,low cases
126,Bee,Texas,32691,19911,12780,35.4,South,39.09332843901991,9956,155,small population,low deaths,low cases
127,Belknap,New Hampshire,60640,29736,30904,47.1,Northeast,50.96306068601583,17387,217,small population,low deaths,low cases
128,Bell,Kentucky,27188,13325,13863,41.6,South,50.98940709136384,86041,943,small population,low deaths,low cases
129,Belmont,Ohio,68472,34995,33477,44.5,Midwest,48.891517700665965,19054,342,small population,low deaths,low cases
130,Beltrami,Minnesota,46117,22906,23211,33.7,Midwest,50.33068066006028,14292,140,small population,low deaths,low cases
131,Ben Hill,Georgia,17154,8047,9107,39.7,South,53.089658388714,4982,125,small population,low deaths,low cases
132,Benewah,Idaho,9086,4607,4479,46.1,West,49.29561963460268,2740,45,small population,low deaths,low cases
133,Bennett,South Dakota,3437,1620,1817,29.0,Midwest,52.86587139947628,943,16,small population,low deaths,low cases
134,Bennington,Vermont,35920,17611,18309,47.0,Northeast,50.97160356347439,12193,94,small population,low deaths,low cases
135,Benson,North Dakota,6886,3529,3357,30.5,Midwest,48.75108916642463,2286,23,small population,low deaths,low cases
136,Bent,Colorado,5809,3790,2019,41.0,West,34.75641246341883,3000,50,small population,low deaths,low cases
137,Benton,Arkansas,258980,128399,130581,35.3,South,50.421268051587,61953,536,small population,low deaths,low cases
138,Benzie,Michigan,17552,8743,8809,49.6,Midwest,50.188012762078394,4126,78,small population,low deaths,low cases
139,Bergen,New Jersey,929999,450784,479215,41.8,Northeast,51.52855003069896,325206,3722,small population,medium deaths,medium cases
140,Berkeley,South Carolina,209065,103989,105076,36.0,South,50.25996699591037,45049,346,small population,low deaths,low cases
141,Berks,Pennsylvania,416642,204883,211759,39.9,Northeast,50.82516884999592,126501,1769,small population,medium deaths,medium cases
142,Berkshire,Massachusetts,127328,61603,65725,46.7,Northeast,51.61865418446846,35103,474,small population,low deaths,low cases
143,Bernalillo,New Mexico,677692,332271,345421,37.3,West,50.97020475378196,196419,2231,small population,medium deaths,medium cases
144,Berrien,Georgia,19025,9299,9726,39.7,South,51.12220762155059,41942,689,small population,low deaths,low cases
145,Bertie,North Carolina,19644,9895,9749,45.2,South,49.62838525758501,5454,78,small population,low deaths,low cases
146,Bethel,Alaska,18040,9381,8659,27.1,West,47.99889135254989,12883,47,small population,low deaths,low cases
147,Bexar,Texas,1925865,950030,975835,33.4,South,50.66995869388561,696535,6496,medium population,high deaths,high cases
148,Bibb,Alabama,22527,12152,10375,39.9,South,46.05584409819328,45308,832,small population,low deaths,low cases
149,Bienville,Louisiana,13668,6523,7145,41.6,South,52.27538776704712,4984,117,small population,low deaths,low cases
150,Big Horn,Montana,13376,6572,6804,30.8,West,50.86722488038278,3077,66,small population,low deaths,low cases
151,Big Stone,Minnesota,5016,2477,2539,48.9,Midwest,50.61802232854864,1757,11,small population,low deaths,low cases
152,Billings,North Dakota,946,556,390,40.6,Midwest,41.2262156448203,169,1,small population,low deaths,low cases
153,Bingham,Idaho,45551,22746,22805,33.5,West,50.06476257381835,11114,174,small population,low deaths,low cases
154,Black Hawk,Iowa,133009,65309,67700,34.9,Midwest,50.89881135862987,38803,525,small population,low deaths,low cases
155,Blackford,Indiana,12129,6037,6092,44.3,Midwest,50.226729326407785,3684,82,small population,low deaths,low cases
156,Bladen,North Carolina,33778,16054,17724,43.6,South,52.47202321037362,12088,148,small population,low deaths,low cases
157,Blaine,Idaho,21994,11251,10743,43.2,West,48.84513958352278,2916,51,small population,low deaths,low cases
158,Blair,Pennsylvania,123842,60619,63223,43.4,Northeast,51.05133961014842,35044,686,small population,low deaths,low cases
159,Blanco,Texas,11279,5781,5498,49.9,South,48.74545615746077,3205,35,small population,low deaths,low cases
160,Bland,Virginia,6447,3542,2905,46.1,South,45.05971769815418,2380,25,small population,low deaths,low cases
161,Bleckley,Georgia,12775,5937,6838,36.8,South,53.526418786692766,3932,110,small population,low deaths,low cases
162,Bledsoe,Tennessee,14602,8517,6085,44.5,South,41.67237364744555,5397,63,small population,low deaths,low cases
163,Blount,Alabama,57645,28434,29211,40.8,South,50.673952641165755,49182,528,small population,low deaths,low cases
164,Blue Earth,Minnesota,66322,33323,32999,30.7,Midwest,49.755737161123,21247,118,small population,low deaths,low cases
165,Boise,Idaho,7163,3780,3383,53.0,West,47.22881474242636,1292,14,small population,low deaths,low cases
166,Bolivar,Mississippi,32592,15365,17227,35.2,South,52.856529209622,11537,194,small population,low deaths,low cases
167,Bollinger,Missouri,12281,6140,6141,44.1,Midwest,50.00407132969627,3250,48,small population,low deaths,low cases
168,Bon Homme,South Dakota,6969,4071,2898,42.8,Midwest,41.584158415841586,2556,42,small population,low deaths,low cases
169,Bond,Illinois,16712,8587,8125,41.3,Midwest,48.61775969363332,5280,31,small population,low deaths,low cases
170,Bonner,Idaho,42711,21366,21345,47.8,West,49.97541616913676,10237,199,small population,low deaths,low cases
171,Bonneville,Idaho,112397,56237,56160,32.7,West,49.965746416719306,35375,302,small population,low deaths,low cases
172,Boone,Arkansas,37288,18350,18938,42.4,South,50.788457412572406,8678,102,small population,low deaths,low cases
173,Borden,Texas,665,346,319,42.5,South,47.96992481203007,124,2,small population,low deaths,low cases
174,Bosque,Texas,18122,8935,9187,46.7,South,50.695287495861386,4877,75,small population,low deaths,low cases
175,Bossier,Louisiana,126131,62349,63782,35.1,South,50.56806019138832,50802,548,small population,low deaths,low cases
176,Botetourt,Virginia,33222,16388,16834,47.0,South,50.67124194810667,9955,118,small population,low deaths,low cases
177,Bottineau,North Dakota,6589,3457,3132,45.1,Midwest,47.53376840188193,1873,26,small population,low deaths,low cases
178,Boulder,Colorado,321030,161355,159675,36.2,West,49.73834221100832,90872,445,small population,low deaths,low cases
179,Boundary,Idaho,11549,5735,5814,43.5,West,50.34202095419517,2411,69,small population,low deaths,low cases
180,Bourbon,Kansas,14702,7243,7459,39.3,Midwest,50.734593932798255,7794,74,small population,low deaths,low cases
181,Bowie,Texas,93858,47275,46583,38.1,South,49.63135800890707,24586,455,small population,low deaths,low cases
182,Bowman,North Dakota,3195,1590,1605,41.4,Midwest,50.23474178403756,930,9,small population,low deaths,low cases
183,Box Butte,Nebraska,11089,5472,5617,40.7,Midwest,50.6538010641176,2505,26,small population,low deaths,low cases
184,Box Elder,Utah,53001,26887,26114,32.5,West,49.27076847606649,0,0,small population,low deaths,low cases
185,Boyd,Kentucky,48091,23958,24133,41.9,South,50.18194672599863,473,13,small population,low deaths,low cases
186,Boyle,Kentucky,29913,14903,15010,40.3,South,50.178852004145355,11397,163,small population,low deaths,low cases
187,Bracken,Kentucky,8306,4183,4123,40.7,South,49.63881531423067,2748,29,small population,low deaths,low cases
188,Bradford,Florida,26979,14841,12138,40.1,South,44.99054820415879,20652,232,small population,low deaths,low cases
189,Bradley,Arkansas,10948,5214,5734,40.2,South,52.37486298867373,39048,457,small population,low deaths,low cases
190,Branch,Michigan,43584,22485,21099,41.3,Midwest,48.40996696035242,13447,210,small population,low deaths,low cases
191,Brantley,Georgia,18561,9103,9458,40.9,South,50.95630623350035,4699,115,small population,low deaths,low cases
192,Braxton,West Virginia,14282,7125,7157,45.2,South,50.112029127573166,4979,52,small population,low deaths,low cases
193,Brazoria,Texas,353999,179060,174939,35.6,South,49.417936208859345,116752,1037,small population,medium deaths,medium cases
194,Brazos,Texas,219193,111074,108119,26.2,South,49.325936503446734,74935,448,small population,low deaths,low cases
195,Breathitt,Kentucky,13116,6577,6539,41.6,South,49.85513876181763,5372,72,small population,low deaths,low cases
196,Breckinridge,Kentucky,20080,10088,9992,42.9,South,49.7609561752988,6672,89,small population,low deaths,low cases
197,Bremer,Iowa,24782,12274,12508,39.7,Midwest,50.472116859010576,6351,88,small population,low deaths,low cases
198,Brevard,Florida,576808,282023,294785,47.2,South,51.106260662126736,174061,2462,small population,medium deaths,medium cases
199,Brewster,Texas,9216,4558,4658,43.3,South,50.54253472222222,1362,34,small population,low deaths,low cases
200,Briscoe,Texas,1546,831,715,46.3,South,46.248382923674,578,8,small population,low deaths,low cases
201,Bristol,Massachusetts,558905,270624,288281,41.0,Northeast,51.5796065520974,6137,111,small population,low deaths,low cases
202,Bristol Bay,Alaska,890,526,364,41.8,West,40.89887640449438,0,0,small population,low deaths,low cases
203,Bristol Bay plus Lake and Peninsula,Alaska,1375,710,665,33.5,West,48.36363636363637,1240,1,small population,low deaths,low cases
204,Broadwater,Montana,5834,2975,2859,46.9,West,49.00582790538224,1537,22,small population,low deaths,low cases
205,Bronx,New York,1437872,676963,760909,33.9,Northeast,52.919105455840295,551497,8538,medium population,high deaths,high cases
206,Brooke,West Virginia,22772,11171,11601,46.2,South,50.94414192868435,6281,111,small population,low deaths,low cases
207,Brookings,South Dakota,34239,17538,16701,26.7,Midwest,48.777709629370015,9449,65,small population,low deaths,low cases
208,Brooks,Georgia,15622,7608,8014,43.0,South,51.299449494302905,2078,55,small population,low deaths,low cases
209,Broome,New York,194402,95608,98794,39.8,Northeast,50.81943601403278,58871,598,small population,low deaths,low cases
210,Broomfield,Colorado,66120,32789,33331,37.7,West,50.409860859044166,18324,132,small population,low deaths,low cases
211,Broward,Florida,1909151,929712,979439,40.1,South,51.302332817048,769484,6640,medium population,high deaths,high cases
212,Brown,Illinois,6675,4238,2437,39.0,Midwest,36.50936329588015,102668,625,small population,low deaths,medium cases
213,Brule,South Dakota,5256,2598,2658,41.0,Midwest,50.57077625570776,1677,27,small population,low deaths,low cases
214,Brunswick,North Carolina,126860,61281,65579,52.8,South,51.69399337852752,4072,54,small population,low deaths,low cases
215,Bryan,Georgia,35885,17786,18099,34.6,South,50.43611536853838,17249,146,small population,low deaths,low cases
216,Buchanan,Iowa,21125,10451,10674,38.7,Midwest,50.527810650887574,6167,150,small population,low deaths,low cases
217,Buckingham,Virginia,17004,9422,7582,42.7,South,44.589508350976246,4968,62,small population,low deaths,low cases
218,Bucks,Pennsylvania,626370,307383,318987,43.8,Northeast,50.926289573255424,155847,2161,small population,medium deaths,medium cases
219,Buena Vista,Iowa,20260,10238,10022,35.2,Midwest,49.466929911154985,2317,48,small population,low deaths,low cases
220,Buffalo,Nebraska,49030,24593,24437,33.3,Midwest,49.840913726290026,4178,14,small population,low deaths,low cases
221,Bullitt,Kentucky,79466,39627,39839,40.1,South,50.13339038079179,29051,257,small population,low deaths,low cases
222,Bulloch,Georgia,74782,36777,38005,28.5,South,50.821053194619026,17901,283,small population,low deaths,low cases
223,Bullock,Alabama,10352,5663,4689,39.6,South,45.29559505409583,3020,54,small population,low deaths,low cases
224,Buncombe,North Carolina,254474,122297,132177,42.1,South,51.94125922491099,70777,699,small population,low deaths,low cases
225,Bureau,Illinois,33381,16437,16944,44.0,Midwest,50.759414037925765,10218,133,small population,low deaths,low cases
226,Burke,Georgia,22550,10697,11853,37.5,South,52.56319290465632,491,3,small population,low deaths,low cases
227,Burleigh,North Dakota,93737,47152,46585,36.9,Midwest,49.69755806138451,40966,303,small population,low deaths,low cases
228,Burleson,Texas,17863,8977,8886,42.6,South,49.74528354699658,6096,68,small population,low deaths,low cases
229,Burlington,New Jersey,446367,219534,226833,41.5,Northeast,50.8176007634973,141140,1373,small population,medium deaths,medium cases
230,Burnet,Texas,45750,22642,23108,44.2,South,50.50928961748634,13589,179,small population,low deaths,low cases
231,Burnett,Wisconsin,15258,7832,7426,52.5,Midwest,48.669550399790275,5111,45,small population,low deaths,low cases
232,Burt,Nebraska,6528,3209,3319,46.2,Midwest,50.84252450980392,1535,25,small population,low deaths,low cases
233,Butler,Alabama,20025,9368,10657,40.7,South,53.21847690387016,54957,835,small population,low deaths,low cases
234,Butte,California,227075,112513,114562,37.1,West,50.45117252009248,3238,49,small population,low deaths,low cases
235,Butts,Georgia,23750,12661,11089,38.5,South,46.69052631578947,7666,180,small population,low deaths,low cases
236,Cabarrus,North Carolina,201448,98094,103354,37.9,South,51.30554783368413,72029,567,small population,low deaths,low cases
237,Cabell,West Virginia,95318,46739,48579,38.5,South,50.965190205417656,33871,442,small population,low deaths,low cases
238,Cache,Utah,122336,61354,60982,25.1,West,49.84795971749934,0,0,small population,low deaths,low cases
239,Caddo,Louisiana,248361,117828,130533,37.4,South,52.55776873180572,10106,187,small population,low deaths,low cases
240,Calaveras,California,45235,22434,22801,52.1,West,50.40565933458605,9612,140,small population,low deaths,low cases
241,Calcasieu,Louisiana,200182,97603,102579,36.0,South,51.242868989219815,67837,743,small population,low deaths,low cases
242,Caldwell,Kentucky,12727,6168,6559,43.5,South,51.536104345093115,17690,186,small population,low deaths,low cases
243,Caledonia,Vermont,30425,15218,15207,44.2,Northeast,49.98192276088743,6524,41,small population,low deaths,low cases
244,Calhoun,Alabama,115098,55315,59783,39.7,South,51.94095466472049,2262,15,small population,low deaths,low cases
245,Callahan,Texas,13770,6763,7007,42.9,South,50.885984023238926,3497,80,small population,low deaths,low cases
246,Callaway,Missouri,44840,22874,21966,38.6,Midwest,48.98751115075825,14359,148,small population,low deaths,low cases
247,Calloway,Kentucky,38776,18818,19958,35.3,South,51.469981431813494,11762,105,small population,low deaths,low cases
248,Calumet,Wisconsin,49807,24954,24853,40.1,Midwest,49.89860862930913,16877,137,small population,low deaths,low cases
249,Calvert,Maryland,91082,45307,45775,40.8,South,50.25691135460354,14736,170,small population,low deaths,low cases
250,Camas,Idaho,886,433,453,46.3,West,51.12866817155757,180,2,small population,low deaths,low cases
251,Cambria,Pennsylvania,134550,66180,68370,45.1,Northeast,50.81382385730212,43261,813,small population,low deaths,low cases
252,Camden,Georgia,52714,27019,25695,32.3,South,48.74416663504951,2198,10,small population,low deaths,low cases
253,Cameron,Louisiana,6868,3357,3511,44.5,South,51.1211415259173,134825,2117,small population,medium deaths,medium cases
254,Camp,Texas,12813,6220,6593,38.7,South,51.455552954031056,3564,78,small population,low deaths,low cases
255,Campbell,Kentucky,92267,45124,47143,38.1,South,51.09410731897645,13851,160,small population,low deaths,low cases
256,Canadian,Oklahoma,136710,67922,68788,35.9,South,50.31672884207447,48063,428,small population,low deaths,low cases
257,Candler,Georgia,10827,5363,5464,37.8,South,50.4664265262769,2580,110,small population,low deaths,low cases
258,Cannon,Tennessee,13976,6899,7077,42.0,South,50.63680595306239,5184,76,small population,low deaths,low cases
